"game_id","team","opponent","points_for","points_against","home","winner","win","offensive_epa","success_rate","explosive_rate","yards_per_play","pass_rate","rush_rate","red_zone_td_rate","turnovers","fourth_down_attempts","third_down_conv_rate","fourth_down_conv_rate"
"2022_06_CIN_NO","CIN","NO",30,26,0,"CIN",1,0.214457270790847,0.535211267605634,0.0694444444444444,4.90140845070423,0.577464788732394,0.197183098591549,0.0416666666666667,0,0,0.6,NA
"2022_06_DAL_PHI","DAL","PHI",17,26,0,"PHI",0,-0.0775776522565005,0.425,0.075,4.03846153846154,0.487179487179487,0.333333333333333,0.025,3,1,0.4,0
"2022_06_DEN_LAC","DEN","LAC",16,19,0,"LAC",0,-0.0971072543968223,0.368421052631579,0.0657894736842105,3.39473684210526,0.421052631578947,0.302631578947368,0,0,0,0.285714285714286,NA
"2022_06_JAX_IND","JAX","IND",27,34,0,"IND",0,0.153573870602986,0.506493506493506,0.116883116883117,4.92207792207792,0.350649350649351,0.428571428571429,0.038961038961039,1,2,0.5,0.5
"2022_06_MIN_MIA","MIN","MIA",24,16,0,"MIN",1,-0.0647508746411846,0.347222222222222,0.0547945205479452,3.37142857142857,0.485714285714286,0.242857142857143,0.0273972602739726,0,0,0.166666666666667,NA
"2022_06_NE_CLE","NE","CLE",38,15,0,"NE",1,0.133344203486034,0.391304347826087,0.0860215053763441,4.33695652173913,0.391304347826087,0.315217391304348,0.032258064516129,2,0,0.5,NA
"2022_06_NYJ_GB","NYJ","GB",27,10,0,"NYJ",1,-0.0687902195321115,0.422535211267606,0.0972222222222222,3.97142857142857,0.285714285714286,0.471428571428571,0.0138888888888889,0,0,0.0909090909090909,NA
"2022_06_SF_ATL","SF","ATL",14,28,0,"ATL",0,-0.139262311642578,0.5,0.0266666666666667,4.80555555555556,0.569444444444444,0.222222222222222,0.0266666666666667,3,1,0.375,0
"2022_06_TB_PIT","TB","PIT",18,20,0,"PIT",0,0.0200164361307047,0.473118279569892,0.043010752688172,3.34065934065934,0.472527472527473,0.285714285714286,0.010752688172043,0,2,0.285714285714286,1
"2022_06_WAS_CHI","WAS","CHI",12,7,0,"WAS",1,-0.00950744067833552,0.430555555555556,0.0410958904109589,3.05714285714286,0.371428571428571,0.4,0.0136986301369863,1,0,0.181818181818182,NA
"2022_07_ATL_CIN","ATL","CIN",17,35,0,"CIN",0,-0.00627607792396209,0.387096774193548,0.0645161290322581,3.50819672131148,0.262295081967213,0.475409836065574,0.0161290322580645,0,0,0.4,NA
"2022_07_CHI_NE","CHI","NE",33,14,0,"CHI",1,0.0823446192170021,0.534883720930233,0.104651162790698,4.58823529411765,0.294117647058824,0.529411764705882,0.0232558139534884,1,1,0.611111111111111,0
