"metric","odds_ratio","lower_ci","upper_ci","vif","auc"
"Offensive EPA",2.50100359058218,2.11394157230059,2.96784317280353,1.9066204502519,0.818876459811304
"Explosive Play Rate",1.16412738494933,1.05098616875098,1.29005590236262,1.17609720795422,0.818876459811304
"Red Zone TD Rate",1.32399380375592,1.17569966119078,1.49224663572619,1.36099473123027,0.818876459811304
"Turnovers",0.563004331930484,0.503078602885434,0.628886481391787,1.19266048052349,0.818876459811304
"3rd Down Conversion Rate",1.1551902516153,1.03555369149717,1.28905993408817,1.31020486963482,0.818876459811304
